Data,Ultimo
157.8096,359.69
157.83120000000002,358.76
157.85279999999997,355.66
157.8744,352.2
157.9392,353.79
157.9608,349.62
157.9824,347.31
158.004,348.53
158.0256,339.93
158.0904,337.0
158.11200000000002,340.75
158.13359999999997,337.4
158.1552,338.19
158.17680000000001,339.15
158.2416,330.38
158.2632,331.61
158.2848,330.26
158.3064,326.08
158.328,325.8
158.3928,325.2
158.41439999999997,322.98
158.436,329.08
158.4576,328.79
158.47920000000002,330.92
158.544,331.85
158.5656,329.66
158.5872,333.75
158.6088,332.96
158.63039999999998,333.62
158.69520000000003,330.08
158.71679999999998,331.02
158.7384,332.01
158.76000000000002,334.89
158.7816,332.72
158.868,327.99
158.8896,327.67
158.9112,325.7
158.9328,324.15
158.99759999999998,328.67
159.0192,330.26
159.04080000000002,331.89
159.0624,332.74
159.084,335.54
159.1488,333.74
159.1704,337.93
159.192,336.95
159.21359999999999,340.27
159.2352,337.93
159.3,338.67
159.32160000000002,336.0
159.3432,336.87
159.3648,338.07
159.3864,341.91
159.4512,343.53
159.4728,341.57
159.49439999999998,339.74
159.516,335.69
159.5376,337.22
159.60240000000002,337.63
159.62400000000002,341.5
159.6456,342.0
159.6672,340.79
159.68880000000001,339.94
159.7536,338.7
159.77519999999998,343.64
159.7968,341.09
159.8184,340.73
159.84,340.08
159.90480000000002,341.37
159.9264,342.07
159.948,341.92
159.9696,344.34
160.05599999999998,344.74
160.0776,344.68
160.0992,340.72
160.1208,338.09
160.14239999999998,335.12
160.2072,331.05
160.2288,330.36
160.2504,332.03
160.272,332.92
160.2936,329.11
160.3584,330.8
160.38,332.25
160.4016,334.48
160.42319999999998,335.57
160.4448,338.39
160.5096,340.53
160.5312,342.01
160.55280000000002,342.86
160.5744,343.82
160.596,352.0
160.6608,354.75
160.6824,354.28
160.70399999999998,354.0
160.7256,354.47
160.74720000000002,354.64
160.812,358.0
160.83360000000002,358.43
160.8552,359.29
160.8768,358.41
160.8984,354.58
160.98479999999998,360.65
161.00639999999999,360.86
161.028,361.23
161.04960000000003,363.16
161.11440000000002,367.4
161.136,366.64
161.1576,364.96
161.1792,363.15
161.2008,358.71
161.2656,361.63
161.28719999999998,366.25
161.3088,364.9
161.33040000000003,362.9
161.35199999999998,362.91
161.4168,356.88
161.4384,358.47
161.46,359.1
161.48160000000001,360.47
161.5032,355.43
161.56799999999998,352.31
161.5896,352.06
161.6112,355.14
161.63279999999997,357.63
161.6544,358.02
161.7192,359.54
161.7408,360.16
161.784,355.68
161.8056,358.42
161.8704,359.52
161.892,356.49
161.91359999999997,361.23
161.93519999999998,365.44
161.95680000000002,367.31
162.0216,368.95
162.0432,367.52
162.0648,364.22
162.0864,365.32
162.108,361.61
162.1728,355.31
162.19440000000003,355.79
