,Data,Ultimo,10_giorni_precedenti_Ultimo,20_giorni_precedenti_Ultimo,30_giorni_precedenti_Ultimo
0,158.71679999999998,331.02,322.98,340.75,359.69
1,158.7384,332.01,329.08,337.4,358.76
2,158.76000000000002,334.89,328.79,338.19,355.66
3,158.7816,332.72,330.92,339.15,352.2
4,158.868,327.99,331.85,330.38,353.79
5,158.8896,327.67,329.66,331.61,349.62
6,158.9112,325.7,333.75,330.26,347.31
7,158.9328,324.15,332.96,326.08,348.53
8,158.99759999999998,328.67,333.62,325.8,339.93
9,159.0192,330.26,330.08,325.2,337.0
10,159.04080000000002,331.89,331.02,322.98,340.75
11,159.0624,332.74,332.01,329.08,337.4
12,159.084,335.54,334.89,328.79,338.19
13,159.1488,333.74,332.72,330.92,339.15
14,159.1704,337.93,327.99,331.85,330.38
15,159.192,336.95,327.67,329.66,331.61
16,159.21359999999999,340.27,325.7,333.75,330.26
17,159.2352,337.93,324.15,332.96,326.08
18,159.3,338.67,328.67,333.62,325.8
19,159.32160000000002,336.0,330.26,330.08,325.2
20,159.3432,336.87,331.89,331.02,322.98
21,159.3648,338.07,332.74,332.01,329.08
22,159.3864,341.91,335.54,334.89,328.79
23,159.4512,343.53,333.74,332.72,330.92
24,159.4728,341.57,337.93,327.99,331.85
25,159.49439999999998,339.74,336.95,327.67,329.66
26,159.516,335.69,340.27,325.7,333.75
27,159.5376,337.22,337.93,324.15,332.96
28,159.60240000000002,337.63,338.67,328.67,333.62
29,159.62400000000002,341.5,336.0,330.26,330.08
30,159.6456,342.0,336.87,331.89,331.02
31,159.6672,340.79,338.07,332.74,332.01
32,159.68880000000001,339.94,341.91,335.54,334.89
33,159.7536,338.7,343.53,333.74,332.72
34,159.77519999999998,343.64,341.57,337.93,327.99
35,159.7968,341.09,339.74,336.95,327.67
36,159.8184,340.73,335.69,340.27,325.7
37,159.84,340.08,337.22,337.93,324.15
38,159.90480000000002,341.37,337.63,338.67,328.67
39,159.9264,342.07,341.5,336.0,330.26
40,159.948,341.92,342.0,336.87,331.89
41,159.9696,344.34,340.79,338.07,332.74
42,160.05599999999998,344.74,339.94,341.91,335.54
43,160.0776,344.68,338.7,343.53,333.74
44,160.0992,340.72,343.64,341.57,337.93
45,160.1208,338.09,341.09,339.74,336.95
46,160.14239999999998,335.12,340.73,335.69,340.27
47,160.2072,331.05,340.08,337.22,337.93
48,160.2288,330.36,341.37,337.63,338.67
49,160.2504,332.03,342.07,341.5,336.0
50,160.272,332.92,341.92,342.0,336.87
51,160.2936,329.11,344.34,340.79,338.07
52,160.3584,330.8,344.74,339.94,341.91
53,160.38,332.25,344.68,338.7,343.53
54,160.4016,334.48,340.72,343.64,341.57
55,160.42319999999998,335.57,338.09,341.09,339.74
56,160.4448,338.39,335.12,340.73,335.69
57,160.5096,340.53,331.05,340.08,337.22
58,160.5312,342.01,330.36,341.37,337.63
59,160.55280000000002,342.86,332.03,342.07,341.5
60,160.5744,343.82,332.92,341.92,342.0
61,160.596,352.0,329.11,344.34,340.79
62,160.6608,354.75,330.8,344.74,339.94
63,160.6824,354.28,332.25,344.68,338.7
64,160.70399999999998,354.0,334.48,340.72,343.64
65,160.7256,354.47,335.57,338.09,341.09
66,160.74720000000002,354.64,338.39,335.12,340.73
67,160.812,358.0,340.53,331.05,340.08
68,160.83360000000002,358.43,342.01,330.36,341.37
69,160.8552,359.29,342.86,332.03,342.07
70,160.8768,358.41,343.82,332.92,341.92
71,160.8984,354.58,352.0,329.11,344.34
72,160.98479999999998,360.65,354.75,330.8,344.74
73,161.00639999999999,360.86,354.28,332.25,344.68
74,161.028,361.23,354.0,334.48,340.72
75,161.04960000000003,363.16,354.47,335.57,338.09
76,161.11440000000002,367.4,354.64,338.39,335.12
77,161.136,366.64,358.0,340.53,331.05
78,161.1576,364.96,358.43,342.01,330.36
79,161.1792,363.15,359.29,342.86,332.03
80,161.2008,358.71,358.41,343.82,332.92
81,161.2656,361.63,354.58,352.0,329.11
82,161.28719999999998,366.25,360.65,354.75,330.8
83,161.3088,364.9,360.86,354.28,332.25
84,161.33040000000003,362.9,361.23,354.0,334.48
85,161.35199999999998,362.91,363.16,354.47,335.57
86,161.4168,356.88,367.4,354.64,338.39
87,161.4384,358.47,366.64,358.0,340.53
88,161.46,359.1,364.96,358.43,342.01
89,161.48160000000001,360.47,363.15,359.29,342.86
90,161.5032,355.43,358.71,358.41,343.82
91,161.56799999999998,352.31,361.63,354.58,352.0
92,161.5896,352.06,366.25,360.65,354.75
93,161.6112,355.14,364.9,360.86,354.28
94,161.63279999999997,357.63,362.9,361.23,354.0
95,161.6544,358.02,362.91,363.16,354.47
96,161.7192,359.54,356.88,367.4,354.64
