Data,Ultimo,10_giorni_precedenti_Ultimo,20_giorni_precedenti_Ultimo,30_giorni_precedenti_Ultimo
158.71679999999998,331.02,322.98,340.75,359.69
158.7384,332.01,329.08,337.4,358.76
158.76000000000002,334.89,328.79,338.19,355.66
158.7816,332.72,330.92,339.15,352.2
158.868,327.99,331.85,330.38,353.79
158.8896,327.67,329.66,331.61,349.62
158.9112,325.7,333.75,330.26,347.31
158.9328,324.15,332.96,326.08,348.53
158.99759999999998,328.67,333.62,325.8,339.93
159.0192,330.26,330.08,325.2,337.0
159.04080000000002,331.89,331.02,322.98,340.75
159.0624,332.74,332.01,329.08,337.4
159.084,335.54,334.89,328.79,338.19
159.1488,333.74,332.72,330.92,339.15
159.1704,337.93,327.99,331.85,330.38
159.192,336.95,327.67,329.66,331.61
159.2136,340.27,325.7,333.75,330.26
159.2352,337.93,324.15,332.96,326.08
159.3,338.67,328.67,333.62,325.8
159.32160000000002,336.0,330.26,330.08,325.2
159.3432,336.87,331.89,331.02,322.98
159.3648,338.07,332.74,332.01,329.08
159.3864,341.91,335.54,334.89,328.79
159.4512,343.53,333.74,332.72,330.92
159.4728,341.57,337.93,327.99,331.85
159.49439999999998,339.74,336.95,327.67,329.66
159.516,335.69,340.27,325.7,333.75
159.5376,337.22,337.93,324.15,332.96
159.60240000000002,337.63,338.67,328.67,333.62
159.62400000000002,341.5,336.0,330.26,330.08
159.6456,342.0,336.87,331.89,331.02
159.6672,340.79,338.07,332.74,332.01
159.6888,339.94,341.91,335.54,334.89
159.7536,338.7,343.53,333.74,332.72
159.77519999999998,343.64,341.57,337.93,327.99
159.7968,341.09,339.74,336.95,327.67
159.8184,340.73,335.69,340.27,325.7
159.84,340.08,337.22,337.93,324.15
159.90480000000002,341.37,337.63,338.67,328.67
159.9264,342.07,341.5,336.0,330.26
159.948,341.92,342.0,336.87,331.89
159.9696,344.34,340.79,338.07,332.74
160.05599999999998,344.74,339.94,341.91,335.54
160.0776,344.68,338.7,343.53,333.74
160.0992,340.72,343.64,341.57,337.93
160.1208,338.09,341.09,339.74,336.95
160.14239999999998,335.12,340.73,335.69,340.27
160.2072,331.05,340.08,337.22,337.93
160.2288,330.36,341.37,337.63,338.67
160.2504,332.03,342.07,341.5,336.0
160.272,332.92,341.92,342.0,336.87
160.2936,329.11,344.34,340.79,338.07
160.3584,330.8,344.74,339.94,341.91
160.38,332.25,344.68,338.7,343.53
160.4016,334.48,340.72,343.64,341.57
160.42319999999998,335.57,338.09,341.09,339.74
160.4448,338.39,335.12,340.73,335.69
160.5096,340.53,331.05,340.08,337.22
160.5312,342.01,330.36,341.37,337.63
160.55280000000002,342.86,332.03,342.07,341.5
160.5744,343.82,332.92,341.92,342.0
160.596,352.0,329.11,344.34,340.79
160.6608,354.75,330.8,344.74,339.94
160.6824,354.28,332.25,344.68,338.7
160.70399999999998,354.0,334.48,340.72,343.64
160.7256,354.47,335.57,338.09,341.09
160.74720000000002,354.64,338.39,335.12,340.73
160.812,358.0,340.53,331.05,340.08
160.83360000000002,358.43,342.01,330.36,341.37
160.8552,359.29,342.86,332.03,342.07
160.8768,358.41,343.82,332.92,341.92
160.8984,354.58,352.0,329.11,344.34
160.98479999999998,360.65,354.75,330.8,344.74
161.0064,360.86,354.28,332.25,344.68
161.028,361.23,354.0,334.48,340.72
161.04960000000003,363.16,354.47,335.57,338.09
161.11440000000002,367.4,354.64,338.39,335.12
161.136,366.64,358.0,340.53,331.05
161.1576,364.96,358.43,342.01,330.36
161.1792,363.15,359.29,342.86,332.03
161.2008,358.71,358.41,343.82,332.92
161.2656,361.63,354.58,352.0,329.11
161.28719999999998,366.25,360.65,354.75,330.8
161.3088,364.9,360.86,354.28,332.25
161.33040000000005,362.9,361.23,354.0,334.48
161.35199999999998,362.91,363.16,354.47,335.57
161.4168,356.88,367.4,354.64,338.39
161.4384,358.47,366.64,358.0,340.53
161.46,359.1,364.96,358.43,342.01
161.4816,360.47,363.15,359.29,342.86
161.5032,355.43,358.71,358.41,343.82
161.56799999999998,352.31,361.63,354.58,352.0
161.5896,352.06,366.25,360.65,354.75
161.6112,355.14,364.9,360.86,354.28
161.63279999999995,357.63,362.9,361.23,354.0
161.6544,358.02,362.91,363.16,354.47
161.7192,359.54,356.88,367.4,354.64
161.7408,360.16,358.47,366.64,358.0
161.784,355.68,359.1,364.96,358.43
161.8056,358.42,360.47,363.15,359.29
161.8704,359.52,355.43,358.71,358.41
161.892,356.49,352.31,361.63,354.58
161.91359999999997,361.23,352.06,366.25,360.65
161.93519999999998,365.44,355.14,364.9,360.86
161.95680000000002,367.31,357.63,362.9,361.23
162.0216,368.95,358.02,362.91,363.16
162.0432,367.52,359.54,356.88,367.4
162.0648,364.22,360.16,358.47,366.64
162.0864,365.32,355.68,359.1,364.96
162.108,361.61,358.42,360.47,363.15
162.1728,355.31,359.52,355.43,358.71
162.19440000000003,355.79,356.49,352.31,361.63
162.21599999999998,357.09,361.23,352.06,366.25
162.2376,355.91,365.44,355.14,364.9
162.25920000000002,353.44,367.31,357.63,362.9
162.324,355.55,368.95,358.02,362.91
162.3456,356.15,367.52,359.54,356.88
162.3672,355.52,364.22,360.16,358.47
162.3888,351.48,365.32,355.68,359.1
162.4104,344.86,361.61,358.42,360.47
162.4752,334.43,355.31,359.52,355.43
162.49679999999998,334.83,355.79,356.49,352.31
162.5184,338.35,357.09,361.23,352.06
162.54000000000002,339.94,355.91,365.44,355.14
162.5616,335.52,353.44,367.31,357.63
162.6264,338.84,355.55,368.95,358.02
162.648,339.39,356.15,367.52,359.54
162.6696,340.06,355.52,364.22,360.16
162.6912,332.39,351.48,365.32,355.68
162.7128,327.83,344.86,361.61,358.42
162.77759999999998,328.51,334.43,355.31,359.52
162.79919999999998,321.86,334.83,355.79,356.49
162.82080000000002,316.55,338.35,357.09,361.23
162.8424,307.06,339.94,355.91,365.44
162.864,311.51,335.52,353.44,367.31
162.9288,321.44,338.84,355.55,368.95
162.9504,321.34,339.39,356.15,367.52
162.972,324.19,340.06,355.52,364.22
162.9936,318.71,332.39,351.48,365.32
163.0152,322.56,327.83,344.86,361.61
163.10160000000002,323.09,328.51,334.43,355.31
163.12320000000005,324.39,321.86,334.83,355.79
163.1448,320.46,316.55,338.35,357.09
163.1664,323.4,307.06,339.94,355.91
163.2312,321.63,311.51,335.52,353.44
163.2528,321.04,321.44,338.84,355.55
163.2744,322.54,321.34,339.39,356.15
163.296,318.65,324.19,340.06,355.52
163.3176,316.83,318.71,332.39,351.48
163.3824,317.77,322.56,327.83,344.86
163.40400000000002,318.6,323.09,328.51,334.43
163.4256,316.6,324.39,321.86,334.83
163.4472,311.48,320.46,316.55,338.35
163.46880000000002,311.32,323.4,307.06,339.94
163.5336,304.59,321.63,311.51,335.52
163.5552,308.26,321.04,321.44,338.84
163.5768,305.06,322.54,321.34,339.39
163.5984,300.97,318.65,324.19,340.06
163.62,306.05,316.83,318.71,332.39
163.68480000000002,314.94,317.77,322.56,327.83
163.7064,315.21,318.6,323.09,328.51
163.728,311.4,316.6,324.39,321.86
163.74960000000002,312.69,311.48,320.46,316.55
163.7712,311.5,311.32,323.4,307.06
163.836,313.48,304.59,321.63,311.51
163.8576,305.1,308.26,321.04,321.44
163.8792,300.39,305.06,322.54,321.34
163.9008,295.46,300.97,318.65,324.19
163.92239999999998,300.03,306.05,316.83,318.71
163.98719999999997,303.23,314.94,317.77,322.56
164.0088,298.92,315.21,318.6,323.09
164.0304,298.76,311.4,316.6,324.39
164.05200000000002,305.74,312.69,311.48,320.46
